dataset_id,wavenumber,source_intensity,display_intensity
dnarna_experimental,450,0.068196150999999997,-0.88217134747356551
dnarna_experimental,451,0.087705243000000002,-0.87707104756992071
dnarna_experimental,452,0.104991897,-0.87255176395946155
dnarna_experimental,453,0.120611145,-0.86846839354584093
dnarna_experimental,454,0.13378055999999999,-0.86502548774296917
dnarna_experimental,455,0.14384022799999999,-0.86239556915264737
dnarna_experimental,456,0.15302665900000001,-0.85999394261133322
dnarna_experimental,457,0.15330448699999999,-0.85992130949639234
dnarna_experimental,458,0.148914925,-0.86106888123605307
dnarna_experimental,459,0.14133301200000001,-0.86305103551280482
dnarna_experimental,460,0.123162676,-0.86780134182895696
dnarna_experimental,461,0.124895162,-0.86734841464101475
dnarna_experimental,462,0.13536817900000001,-0.86461043341687727
dnarna_experimental,463,0.15437915899999999,-0.85964035590316257
dnarna_experimental,464,0.19378019799999999,-0.8493396655678459
dnarna_experimental,465,0.21332768199999999,-0.84422932876889611
dnarna_experimental,466,0.22872016000000001,-0.84020524327787205
dnarna_experimental,467,0.240900845,-0.83702082308385028
dnarna_experimental,468,0.23989121199999999,-0.83728477340468621
dnarna_experimental,469,0.26321679999999997,-0.83118671952145795
dnarna_experimental,470,0.29856723600000001,-0.82194498621451573
dnarna_experimental,471,0.34709220499999999,-0.80925900909599757
dnarna_experimental,472,0.41516981600000002,-0.79146134671254753
dnarna_experimental,473,0.48551097399999998,-0.7730719208300072
dnarna_experimental,474,0.56489873199999996,-0.75231742469671858
dnarna_experimental,475,0.65331958800000001,-0.72920138816682845
dnarna_experimental,476,0.74529816299999996,-0.70515525023227554
dnarna_experimental,477,0.85629634700000001,-0.67613677888773815
dnarna_experimental,478,0.97945162100000005,-0.64394005583596592
dnarna_experimental,479,1.113323117,-0.60894177000341254
dnarna_experimental,480,1.2614025760000001,-0.57022906874240731
dnarna_experimental,481,1.405457213,-0.53256858453275369
dnarna_experimental,482,1.548906573,-0.4950663390676186
dnarna_experimental,483,1.689189155,-0.45839199054039664
dnarna_experimental,484,1.821208081,-0.42387802568969601
dnarna_experimental,485,1.9499154759999999,-0.39022980083551684
dnarna_experimental,486,2.069967165,-0.35884445405263787
dnarna_experimental,487,2.17860173,-0.33044390822498015
dnarna_experimental,488,2.2809792560000002,-0.30367915228486819
dnarna_experimental,489,2.3526669359999999,-0.2849377025343357
dnarna_experimental,490,2.3999305990000002,-0.27258147109902342
dnarna_experimental,491,2.421795929,-0.26686517530769904
dnarna_experimental,492,2.4157706760000002,-0.26844036893000267
dnarna_experimental,493,2.3899641730000001,-0.27518701325175321
dnarna_experimental,494,2.3437144710000002,-0.2872781628887634
dnarna_experimental,495,2.279710825,-0.30401076067069577
dnarna_experimental,496,2.194190206,-0.32636858259522916
dnarna_experimental,497,2.109263205,-0.34857121381031286
dnarna_experimental,498,2.0214951229999998,-0.37151659436250284
dnarna_experimental,499,1.9339138140000001,-0.39441314648567605
dnarna_experimental,500,1.8491134069999999,-0.41658268198487491
dnarna_experimental,501,1.768788281,-0.43758223605935737
dnarna_experimental,502,1.6944710599999999,-0.45701113183295089
dnarna_experimental,503,1.627075426,-0.47463050364155568
dnarna_experimental,504,1.5679211369999999,-0.49009532458180621
dnarna_experimental,505,1.5145761019999999,-0.50404142093884974
dnarna_experimental,506,1.4674146020000001,-0.51637094370217163
dnarna_experimental,507,1.425572466,-0.52730981477874916
dnarna_experimental,508,1.3926931199999999,-0.53590552621604748
dnarna_experimental,509,1.355121204,-0.54572802536437015
dnarna_experimental,510,1.316175957,-0.55590955710974921
dnarna_experimental,511,1.275097664,-0.56664873522371728
dnarna_experimental,512,1.2286687709999999,-0.57878673111272305
dnarna_experimental,513,1.184256808,-0.59039743706508485
dnarna_experimental,514,1.1393779980000001,-0.60213019173755711
dnarna_experimental,515,1.0942059099999999,-0.61393961864854985
dnarna_experimental,516,1.0502807279999999,-0.62542306449637186
dnarna_experimental,517,1.004282723,-0.6374484124966453
dnarna_experimental,518,0.95776245500000001,-0.6496102967297982
